"";"be";"response";"ncomp";"rmse";"r_squared";"smpl";"model";"rmse_sd"
"153";"AEG";"SPECRICH";3;7,14313113417831;0,723228424852256;3;"Model_5_RECLIMALUI";0,684205810766331
"154";"AEG";"SPECRICH";1;8,22303335273202;0,578147935584497;4;"Model_5_RECLIMALUI";0,787644395207059
"155";"AEG";"SPECRICH";3;7,31989089914452;0,713201849872602;5;"Model_5_RECLIMALUI";0,701136769477266
"156";"AEG";"SPECRICH";2;9,16460152798452;0,565024077649288;4;"Model_2_LUI";0,877832634039457
"157";"AEG";"SPECRICH";2;7,30437464040769;0,579790360396772;1;"Model_3_RELUI";0,699650542472655
"158";"AEG";"SPECRICH";2;7,29751419204657;0,54121778499495;1;"Model_0_RE";0,698993413470686
"159";"AEG";"SPECRICH";2;7,05215325834459;0,578729283471764;2;"Model_0_RE";0,675491482255859
"160";"AEG";"SPECRICH";1;8,23920537445638;0,633677321828824;3;"Model_0_RE";0,789193434560782
"161";"AEG";"SPECRICH";1;7,51542540491613;0,529194987365721;1;"Model_4_CLIMALUI";0,719866069351676
"162";"AEG";"SPECRICH";1;7,52159231304425;0,548114504671444;2;"Model_4_CLIMALUI";0,720456767505813
"163";"AEG";"SPECRICH";1;7,3577483550582;0,570027140614662;3;"Model_4_CLIMALUI";0,704762951165718
"164";"AEG";"SPECRICH";3;8,55096231317731;0,550389842499486;4;"Model_4_CLIMALUI";0,819055116365693
"165";"AEG";"SPECRICH";3;7,57701733346863;0,550933304822792;5;"Model_4_CLIMALUI";0,725765660808185
"166";"AEG";"SPECRICH";2;8,19771579287287;0,66270865034425;1;"Model_2_LUI";0,785219349209069
"167";"AEG";"SPECRICH";1;7,90971419269373;0,73354188927089;2;"Model_2_LUI";0,757633075815639
"168";"AEG";"SPECRICH";2;8,15156737517011;0,555868630448353;3;"Model_2_LUI";0,780799016590671
"169";"AEG";"SPECRICH";1;8,22489642713478;0,577987190706657;4;"Model_3_RELUI";0,787822850048264
"170";"AEG";"SPECRICH";1;8,12317380200359;0,530684271878853;5;"Model_2_LUI";0,778079334229529
"171";"AEG";"SPECRICH";2;7,39893008110782;0,548068056286451;2;"Model_3_RELUI";0,708707548532231
"172";"AEG";"SPECRICH";2;7,31809540458776;0,698257860717542;3;"Model_3_RELUI";0,700964787781025
"173";"AEG";"SPECRICH";1;7,45693334787437;0,584315804139068;2;"Model_1_RE";0,714263399519652
"174";"AEG";"SPECRICH";2;7,49652870302428;0,655799769479356;5;"Model_3_RELUI";0,718056046128547
"175";"AEG";"SPECRICH";1;8,23938849644311;0,576355324975342;4;"Model_1_RE";0,789210974925791
"176";"AEG";"SPECRICH";1;7,47137123993652;0,557303023503891;1;"Model_1_RE";0,715646335022106
"177";"AEG";"SPECRICH";1;8,60693868306651;0,664332125334107;4;"Model_0_RE";0,824416820753359
"178";"AEG";"SPECRICH";2;8,04121938714698;0,691374221954622;3;"Model_1_RE";0,770229319185769
"179";"AEG";"SPECRICH";1;7,50126008158583;0,669379828377251;5;"Model_1_RE";0,718509241883172
"180";"AEG";"SPECRICH";2;7,80122378880518;0,671726444296011;5;"Model_0_RE";0,747241307365839
